,year,species,site,plot,trt,treatment,pods,cover0,arsincover0,cover3,arsincover3,cover5,arsincover5
0,2010,CALE,Hyslop,4,6,Roundup 0.1,1.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
1,2010,CALE,Hyslop,12,7,Rdup/Bnvl 0.01,6.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
2,2010,CALE,Hyslop,13,5,Roundup 0.01,8.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
3,2010,CALE,Hyslop,15,1,Carrier Control,3.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
4,2010,CALE,Hyslop,17,3,Banvel 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
5,2010,CALE,Hyslop,21,4,Banvel 0.1,8.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
6,2010,CALE,Hyslop,29,2,No Spray,5.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
7,2010,CALE,Hyslop,36,7,Rdup/Bnvl 0.01,8.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
8,2010,CALE,Hyslop,39,7,Rdup/Bnvl 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
9,2010,CALE,Hyslop,40,3,Banvel 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
10,2010,CALE,Hyslop,41,2,No Spray,0.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
11,2010,CALE,Hyslop,49,8,Rdup/Bnvl 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
12,2010,CALE,Hyslop,51,4,Banvel 0.1,5.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
13,2010,CALE,Hyslop,62,4,Banvel 0.1,2.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
14,2010,CALE,Hyslop,70,2,No Spray,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
15,2010,CALE,Hyslop,71,4,Banvel 0.1,3.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
16,2010,CALE,Hyslop,72,3,Banvel 0.01,2.0,2.0,0.1418970546041639,1.0,0.1001674211615598,,
17,2010,CALE,Hyslop,73,2,No Spray,6.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
18,2010,CALE,Hyslop,79,3,Banvel 0.01,3.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
19,2010,CALE,Hyslop,83,8,Rdup/Bnvl 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
20,2010,CALE,Hyslop,85,6,Roundup 0.1,0.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
21,2010,CALE,Hyslop,92,2,No Spray,10.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
22,2010,CALE,Hyslop,93,8,Rdup/Bnvl 0.1,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
23,2010,CALE,Hyslop,100,7,Rdup/Bnvl 0.01,1.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
24,2010,CALE,Hyslop,101,3,Banvel 0.01,3.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
25,2010,CALE,Hyslop,102,1,Carrier Control,3.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
26,2010,CALE,Hyslop,103,5,Roundup 0.01,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
27,2010,CALE,Hyslop,104,8,Rdup/Bnvl 0.1,0.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
28,2010,CALE,Hyslop,105,1,Carrier Control,0.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
29,2010,CALE,Hyslop,106,3,Banvel 0.01,10.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
30,2010,CALE,Hyslop,107,3,Banvel 0.01,19.0,1.0,0.1001674211615598,2.0,0.1418970546041639,,
31,2010,CALE,Hyslop,110,4,Banvel 0.1,7.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
32,2010,CALE,Hyslop,111,8,Rdup/Bnvl 0.1,2.0,1.0,0.1001674211615598,1.0,0.1001674211615598,,
33,2010,CALE,Hyslop,113,4,Banvel 0.1,2.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
34,2010,CALE,Hyslop,114,2,No Spray,7.0,2.0,0.1418970546041639,2.0,0.1418970546041639,,
